time_s,Cout_uS,F_exp,E_exp
0.0,120.0,0.07334963325183375,0.0
10.0,120.0,0.07334963325183375,0.0
20.0,120.0,0.07334963325183375,0.0
30.0,120.0,0.07334963325183375,0.0
40.0,120.0,0.07334963325183375,0.0
50.0,120.0,0.07334963325183375,3.05623471882642e-05
60.0,121.0,0.07396088019559903,0.0
70.0,120.0,0.07334963325183375,0.0
80.0,121.0,0.07396088019559903,0.0
90.0,120.0,0.07334963325183375,-3.05623471882642e-05
100.0,120.0,0.07334963325183375,0.0
110.0,120.0,0.07334963325183375,0.0
120.0,120.0,0.07334963325183375,0.0
130.0,120.0,0.07334963325183375,0.0
140.0,120.0,0.07334963325183375,0.0
150.0,120.0,0.07334963325183375,3.05623471882642e-05
160.0,121.0,0.07396088019559903,3.05623471882642e-05
170.0,121.0,0.07396088019559903,0.0
180.0,121.0,0.07396088019559903,0.0
190.0,121.0,0.07396088019559903,0.0
200.0,121.0,0.07396088019559903,3.05623471882642e-05
210.0,122.0,0.07457212713936431,6.11246943765277e-05
220.0,123.0,0.07518337408312958,6.11246943765284e-05
230.0,124.0,0.07579462102689488,3.0562347188264896e-05
240.0,124.0,0.07579462102689488,9.168704156479191e-05
250.0,127.0,0.07762836185819072,0.00021393643031784732
260.0,131.0,0.08007334963325183,6.11246943765277e-05
270.0,129.0,0.07885085574572127,0.0006418092909535455
280.0,152.0,0.09290953545232274,0.0013141809290953543
290.0,172.0,0.10513447432762836,0.0007029339853300738
300.0,175.0,0.10696821515892421,0.0014669926650366753
310.0,220.0,0.13447432762836187,0.0022921760391198046
320.0,250.0,0.1528117359413203,0.0017726161369193152
330.0,278.0,0.16992665036674817,0.0015586797066014665
340.0,301.0,0.18398533007334963,0.001497555012224938
350.0,327.0,0.19987775061124693,0.0018337408312958437
360.0,361.0,0.2206601466992665,0.001894865525672372
370.0,389.0,0.23777506112469438,0.0020476772616136937
380.0,428.0,0.2616136919315404,0.002169926650366749
390.0,460.0,0.28117359413202936,0.0020476772616136924
400.0,495.0,0.30256723716381423,0.0019254278728606355
410.0,523.0,0.31968215158924207,0.0018948655256723706
420.0,557.0,0.34046454767726164,0.0021088019559902193
430.0,592.0,0.36185819070904646,0.0018948655256723706
440.0,619.0,0.37836185819070906,0.0016809290953545247
450.0,647.0,0.39547677261613695,0.001619804400977995
460.0,672.0,0.41075794621026895,0.0017726161369193167
470.0,705.0,0.4309290953545233,0.0018337408312958463
480.0,732.0,0.4474327628361859,0.0015281173594132002
490.0,755.0,0.4614914425427873,0.0012224938875305623
500.0,772.0,0.47188264058679713,0.001528117359413203
510.0,805.0,0.49205378973105135,0.0016809290953545193
520.0,827.0,0.5055012224938875,0.001528117359413203
530.0,855.0,0.5226161369193154,0.0018031784841075816
540.0,886.0,0.5415647921760391,0.0015281173594132059
550.0,905.0,0.5531784841075795,0.0012836185819070922
560.0,928.0,0.567237163814181,0.0015281173594132002
570.0,955.0,0.5837408312958435,0.00158924205378973
580.0,980.0,0.5990220048899756,0.0012836185819070922
590.0,997.0,0.6094132029339854,0.0010085574572127165
600.0,1013.0,0.6191931540342299,0.001008557457212711
610.0,1030.0,0.6295843520782396,0.0009474327628361867
620.0,1044.0,0.6381418092909537,0.0008863080684596625
630.0,1059.0,0.6473105134474328,0.001161369193154027
640.0,1082.0,0.6613691931540342,0.0013447432762836165
650.0,1103.0,0.6742053789731052,0.001161369193154038
660.0,1120.0,0.684596577017115,0.0009474327628361867
670.0,1134.0,0.6931540342298289,0.0009474327628361812
680.0,1151.0,0.7035452322738386,0.000977995110024449
690.0,1166.0,0.7127139364303179,0.0009474327628361867
700.0,1182.0,0.7224938875305623,0.0010391198044009786
710.0,1200.0,0.7334963325183375,0.0008251833740831327
720.0,1209.0,0.738997555012225,0.0007029339853300732
730.0,1223.0,0.7475550122249389,0.0007640586797065974
740.0,1234.0,0.7542787286063569,0.0007029339853300732
750.0,1246.0,0.7616136919315404,0.0008251833740831327
760.0,1261.0,0.7707823960880196,0.0009474327628361867
770.0,1277.0,0.7805623471882641,0.0008251833740831272
780.0,1288.0,0.7872860635696821,0.0007334963325183353
790.0,1301.0,0.7952322738386308,0.0007640586797066029
800.0,1313.0,0.8025672371638142,0.000672371638141811
810.0,1323.0,0.808679706601467,0.0006723716381418166
820.0,1335.0,0.8160146699266505,0.0007334963325183353
830.0,1347.0,0.8233496332518337,0.0005501222493887514
840.0,1353.0,0.8270171149144255,0.0005195599022004893
850.0,1364.0,0.8337408312958435,0.0005195599022004838
860.0,1370.0,0.8374083129584352,0.0004889975550122272
870.0,1380.0,0.8435207823960881,0.0005806845965770247
880.0,1389.0,0.8490220048899757,0.0005806845965770135
890.0,1399.0,0.8551344743276283,0.0005501222493887459
900.0,1407.0,0.8600244498777506,0.0005195599022004893
910.0,1416.0,0.8655256723716381,0.0005195599022004893
920.0,1424.0,0.8704156479217604,0.00045843520782396505
930.0,1431.0,0.8746943765281174,0.00045843520782396505
940.0,1439.0,0.8795843520782397,0.00039731051344742976
950.0,1444.0,0.882640586797066,0.00036674816625916764
960.0,1451.0,0.8869193154034231,0.00036674816625916764
970.0,1456.0,0.8899755501222494,0.0003973105134474353
980.0,1464.0,0.8948655256723718,0.0003973105134474353
990.0,1469.0,0.8979217603911981,0.00039731051344742976
1000.0,1477.0,0.9028117359413204,0.0004278728606356974
1010.0,1483.0,0.906479217603912,0.0003361858190709055
1020.0,1488.0,0.9095354523227385,0.0002750611246943702
1030.0,1492.0,0.9119804400977994,0.00033618581907089994
1040.0,1499.0,0.9162591687041565,0.00036674816625917317
1050.0,1504.0,0.9193154034229829,0.0003056234718826434
1060.0,1509.0,0.9223716381418093,0.0002750611246943813
1070.0,1513.0,0.9248166259168705,0.0002750611246943813
1080.0,1518.0,0.927872860635697,0.00033618581907089994
1090.0,1524.0,0.9315403422982885,0.0002750611246943702
1100.0,1527.0,0.9333740831295844,0.0002750611246943757
1110.0,1533.0,0.937041564792176,0.0002750611246943813
1120.0,1536.0,0.938875305623472,0.00021393643031785147
1130.0,1540.0,0.9413202933985331,0.0002444987775061136
1140.0,1544.0,0.9437652811735943,0.00024449877750610806
1150.0,1548.0,0.9462102689486552,0.00021393643031784038
1160.0,1551.0,0.9480440097799511,0.0001528117359413217
1170.0,1553.0,0.9492665036674817,0.00018337408312958935
1180.0,1557.0,0.9517114914425429,0.0002444987775061136
1190.0,1561.0,0.9541564792176039,0.00021393643031784594
1200.0,1564.0,0.9559902200488998,0.00018337408312958935
1210.0,1567.0,0.9578239608801957,0.00021393643031785147
1220.0,1571.0,0.9602689486552568,0.00021393643031784038
1230.0,1574.0,0.9621026894865525,0.00015281173594131615
1240.0,1576.0,0.9633251833740831,0.0001528117359413217
1250.0,1579.0,0.965158924205379,0.0001528117359413217
1260.0,1581.0,0.9663814180929096,0.00012224938875305958
1270.0,1583.0,0.9676039119804402,0.0001528117359413217
1280.0,1586.0,0.969437652811736,0.00018337408312958382
1290.0,1589.0,0.9712713936430318,0.0001528117359413217
1300.0,1591.0,0.9724938875305624,0.0001528117359413217
1310.0,1594.0,0.9743276283618583,0.0001528117359413217
1320.0,1596.0,0.9755501222493889,0.00012224938875305958
1330.0,1598.0,0.9767726161369195,0.00012224938875304847
1340.0,1600.0,0.9779951100244498,0.00012224938875304847
1350.0,1602.0,0.9792176039119804,9.168704156479191e-05
1360.0,1603.0,0.9798288508557457,9.168704156479191e-05
1370.0,1605.0,0.9810513447432763,0.00012224938875305958
1380.0,1607.0,0.9822738386308069,9.168704156479191e-05
1390.0,1608.0,0.9828850855745721,0.00012224938875305958
1400.0,1611.0,0.984718826405868,0.00018337408312958935
1410.0,1614.0,0.9865525672371639,9.168704156479191e-05
1420.0,1614.0,0.9865525672371639,6.112469437652979e-05
1430.0,1616.0,0.9877750611246945,9.168704156479191e-05
1440.0,1617.0,0.9883863080684597,6.112469437652424e-05
1450.0,1618.0,0.988997555012225,9.168704156479191e-05
