time_s,Cout_uS,F_exp,E_exp,F_theo
0.0,91.0,0.05023461219983439,0.0,0.0
10.0,91.0,0.05023461219983439,0.0,0.0
20.0,91.0,0.05023461219983439,2.7601435274634406e-05,0.0
30.0,92.0,0.05078664090532708,2.7601435274634406e-05,0.0
40.0,92.0,0.05078664090532708,0.0,0.0
50.0,92.0,0.05078664090532708,0.0,0.0
60.0,92.0,0.05078664090532708,0.0,0.0
70.0,92.0,0.05078664090532708,0.0,0.0
80.0,92.0,0.05078664090532708,2.760143527463406e-05,0.0
90.0,93.0,0.05133866961081976,2.760143527463406e-05,0.0
100.0,93.0,0.05133866961081976,0.0,0.0
110.0,93.0,0.05133866961081976,5.5202870549268467e-05,0.0
120.0,95.0,0.05244272702180513,8.280430582390322e-05,0.0
130.0,96.0,0.052994755727297824,5.520287054926881e-05,0.0
140.0,97.0,0.053546784432790505,8.280430582390253e-05,0.0
150.0,99.0,0.054650841843775874,0.00013800717637317133,0.0
160.0,102.0,0.05630692796025393,0.00013800717637317133,0.0
170.0,104.0,0.0574109853712393,0.00011040574109853727,0.0
180.0,106.0,0.05851504278222468,0.00019321004692244014,0.0029091595035219964
190.0,111.0,0.061275186309688104,0.00033121722329561146,0.10510406559318874
200.0,118.0,0.0651393872481369,0.00041402152911951403,0.19235641919785285
210.0,126.0,0.06955561689207838,0.00044162296439414844,0.2674434641250366
220.0,134.0,0.07397184653601988,0.001490477504830251,0.33252596627921727
230.0,180.0,0.0993651669886834,0.0037537951973502627,0.389305420943556
240.0,270.0,0.14904775048302513,0.00858404637041126,0.43913640222073114
250.0,491.0,0.27104609439690863,0.010792161192382004,0.48310810828662587
260.0,661.0,0.3648909743306652,0.009577698040298097,0.5221043900579011
270.0,838.0,0.46260005520287056,0.007700800441622963,0.5568485153348988
280.0,940.0,0.5189069831631244,0.004443831079216118,0.5879369485703331
290.0,999.0,0.5514766767871929,0.0033949765387800146,0.6158651220917255
300.0,1063.0,0.5868065139387247,0.003864200938448803,0.641047297421268
310.0,1139.0,0.628760695556169,0.0035605851504278254,0.6638320163154434
320.0,1192.0,0.6580182169472812,0.0023737234336185463,0.6845142262491613
330.0,1225.0,0.6762351642285399,0.0019321004692243958,0.7033448739018744
340.0,1262.0,0.6966602263317692,0.0020149047750482986,0.7205385533556584
350.0,1298.0,0.7165332597295059,0.0020701076455975744,0.7362796470850133
360.0,1337.0,0.7380623792437206,0.0020425062103229417,0.7507272898758806
370.0,1372.0,0.7573833839359647,0.0017388904223019641,0.7640194066319512
380.0,1400.0,0.7728401876897599,0.0012420645873585379,0.7762760163982971
390.0,1417.0,0.7822246756831355,0.0008832459287882899,0.787601951136845
400.0,1432.0,0.7905051062655257,0.0008556444935136631,0.7980891047994632
410.0,1448.0,0.7993375655534087,0.0009936516698868358,0.807818303199965
420.0,1468.0,0.8103781396632624,0.0011040574109853706,0.8168608660312592
430.0,1488.0,0.8214187137731161,0.0010212531051614683,0.8252799176198709
440.0,1505.0,0.8308032017664918,0.0007728401876897606,0.8331314915698043
450.0,1516.0,0.8368755175269114,0.0006624344465912257,0.8404654655205636
460.0,1529.0,0.8440518906983163,0.0004968258349434207,0.847326355235889
470.0,1534.0,0.8468120342257798,0.000358818658570248,0.8537539917062658
480.0,1542.0,0.8512282638697213,0.0006624344465912202,0.8597841005551827
490.0,1558.0,0.8600607231576042,0.0008832459287882899,0.86544879953317
500.0,1574.0,0.8688931824454871,0.0007728401876897606,0.8707770270716565
510.0,1586.0,0.8755175269113994,0.0006624344465912313,0.8757949126025149
520.0,1598.0,0.8821418713773117,0.0005520287054926853,0.8805260975144753
530.0,1606.0,0.8865581010212531,0.0004968258349434152,0.8849920141257177
540.0,1616.0,0.89207838807618,0.00046922439966878284,0.8892121288337247
550.0,1623.0,0.8959425890146288,0.00044162296439414497,0.8932041546046747
560.0,1632.0,0.9009108473640629,0.00013800717637316718,0.8969842371425832
570.0,1628.0,0.8987027325420921,-0.0002208114821970697,0.9005671183992432
580.0,1624.0,0.8964946177201215,2.7601435274637875e-05,0.9039662805229314
590.0,1629.0,0.8992547612475849,0.0003312172232956045,0.9071940728753637
600.0,1636.0,0.9031189621860336,0.0003864200938448803,0.910261824355317
610.0,1643.0,0.9069831631244825,0.00041402152911951815,0.9131799429398391
620.0,1651.0,0.911399392768424,0.0003588186585702424,0.9159580040788609
630.0,1656.0,0.9141595362958873,0.0003312172232956101,0.9186048293472263
640.0,1663.0,0.9180237372343362,0.0003864200938448803,0.9211285565622903
650.0,1670.0,0.9218879381727849,0.0003864200938448803,0.9235367024092642
660.0,1677.0,0.9257521391112338,0.0004140215291195126,0.9258362184754686
670.0,1685.0,0.9301683687551752,0.0003864200938448803,0.9280335414745247
680.0,1691.0,0.9334805409881314,0.000358818658570248,0.9301346383389146
690.0,1698.0,0.9373447419265801,0.000358818658570248,0.9321450467715062
700.0,1704.0,0.9406569141595363,0.000358818658570248,0.9340699117712533
710.0,1711.0,0.9445211150979851,0.0003588186585702424,0.935914018583444
720.0,1717.0,0.9478332873309412,0.0003312172232956101,0.9376818224689701
730.0,1723.0,0.9511454595638973,0.00030361578802097776,0.9393774756387955
740.0,1728.0,0.9539056030913607,0.0002484129174717076,0.9410048516579878
750.0,1732.0,0.9561137179133314,0.00019321004692244293,0.9425675675874029
760.0,1735.0,0.9577698040298096,0.00013800717637317273,0.9440690040995743
770.0,1737.0,0.9588738614407949,0.00013800717637317273,0.9455123237778953
780.0,1740.0,0.9605299475572731,0.00013800717637316718,0.9469004877842112
790.0,1742.0,0.9616340049682582,0.0001104057410985293,0.9482362710589876
800.0,1744.0,0.9627380623792436,0.0001104057410985404,0.9495222761998658
810.0,1746.0,0.963842119790229,0.0001104057410985404,0.9507609461483221
820.0,1748.0,0.9649461772012145,0.00011040574109853485,0.9519545757999912
830.0,1750.0,0.9660502346121997,8.280430582390253e-05,0.9531053226417682
840.0,1751.0,0.9666022633176925,8.280430582390807e-05,0.9542152165078148
850.0,1753.0,0.9677063207286779,0.00011040574109853485,0.9552861685369054
860.0,1755.0,0.9688103781396632,8.280430582390253e-05,0.9563199794049677
870.0,1756.0,0.969362406845156,8.280430582390807e-05,0.9573183468990806
880.0,1758.0,0.9704664642561414,0.00011040574109853485,0.9582828728924511
890.0,1760.0,0.9715705216671267,8.280430582390253e-05,0.95921506977391
900.0,1761.0,0.9721225503726194,8.280430582390807e-05,0.9601163663801409
910.0,1763.0,0.9732266077836048,0.00011040574109853485,0.9609881134741144
920.0,1765.0,0.9743306651945901,8.280430582390253e-05,0.9618315888089722
930.0,1766.0,0.9748826939000829,8.280430582389697e-05,0.9626480018128271
940.0,1768.0,0.975986751311068,0.0001104057410985293,0.9634384979265664
950.0,1770.0,0.9770908087220534,0.0001104057410985404,0.9642041626237275
960.0,1772.0,0.9781948661330389,0.0001104057410985404,0.9649460251387957
970.0,1774.0,0.9792989235440243,0.0001104057410985404,0.9656650619278501
980.0,1776.0,0.9804029809550097,0.00011040574109853485,0.9663621998832925
990.0,1778.0,0.981507038365995,8.280430582390253e-05,0.9670383193224305
1000.0,1779.0,0.9820590670714877,5.52028705492702e-05,0.9676942567679141
1010.0,1780.0,0.9826110957769804,5.520287054926465e-05,0.9683308075364319
1020.0,1781.0,0.983163124482473,5.52028705492702e-05,0.9689487281506287
1030.0,1782.0,0.9837151531879658,5.52028705492702e-05,0.9695487385879104
1040.0,1783.0,0.9842671818934584,2.7601435274632326e-05,0.9701315243786188
1050.0,1783.0,0.9842671818934584,2.7601435274637875e-05,0.9706977385650014
1060.0,1784.0,0.9848192105989512,5.52028705492702e-05,0.9712480035314295
1070.0,1785.0,0.9853712393044438,5.520287054926465e-05,0.971782912715446
1080.0,1786.0,0.9859232680099365,5.52028705492702e-05,0.9723030322084312
1090.0,1787.0,0.9864752967154292,5.52028705492702e-05,0.9728089022539468
1100.0,1788.0,0.9870273254209219,5.52028705492702e-05,0.9733010386511687
1110.0,1789.0,0.9875793541264146,2.7601435274637875e-05,0.9737799340702168
1120.0,1789.0,0.9875793541264146,2.7601435274632326e-05,0.9742460592856458
1130.0,1790.0,0.9881313828319073,5.520287054926465e-05,0.9746998643338665
1140.0,1791.0,0.9886834115373999,5.52028705492702e-05,0.9751417795998107
1150.0,1792.0,0.9892354402428927,5.52028705492702e-05,0.9755722168377422
1160.0,1793.0,0.9897874689483853,2.7601435274632326e-05,0.9759915701307329
1170.0,1793.0,0.9897874689483853,2.7601435274637875e-05,0.9764002167929827
1180.0,1794.0,0.9903394976538781,2.7601435274637875e-05,0.9767985182188409
1190.0,1794.0,0.9903394976538781,2.7601435274632326e-05,0.9771868206820946
1200.0,1795.0,0.9908915263593707,5.520287054926465e-05,0.9775654560888293
1210.0,1796.0,0.9914435550648634,2.7601435274632326e-05,0.9779347426869163
1220.0,1796.0,0.9914435550648634,0.0,0.9782949857349598
1230.0,1796.0,0.9914435550648634,2.7601435274637875e-05,0.9786464781333294
1240.0,1797.0,0.9919955837703561,5.520287054926465e-05,0.9789895010197152
1250.0,1798.0,0.9925476124758487,5.5202870549259095e-05,0.979324324331465
1260.0,1799.0,0.9930996411813413,2.7601435274632326e-05,0.9796512073368066
1270.0,1799.0,0.9930996411813413,2.7601435274637875e-05,0.979970399136905
1280.0,1800.0,0.9936516698868341,2.7601435274637875e-05,0.9802821391405726
1290.0,1800.0,0.9936516698868341,0.0,0.980586657513319
1300.0,1800.0,0.9936516698868341,0.0,0.980884175602316
1310.0,1800.0,0.9936516698868341,2.7601435274632326e-05,0.9811749063387414
1320.0,1801.0,0.9942036985923267,0.0,0.9814590546188672
1330.0,1800.0,0.9936516698868341,0.0,0.9817368176651671
1340.0,1801.0,0.9942036985923267,5.52028705492702e-05,0.9820083853686311
1350.0,1802.0,0.9947557272978195,2.7601435274637875e-05,0.9822739406133959
1360.0,1802.0,0.9947557272978195,0.0,0.9825336595847286
1370.0,1802.0,0.9947557272978195,2.7601435274632326e-05,0.9827877120613321
1380.0,1803.0,0.9953077560033121,2.7601435274632326e-05,0.9830362616928765
1390.0,1803.0,0.9953077560033121,0.0,0.9832794662636065
1400.0,1803.0,0.9953077560033121,2.7601435274632326e-05,0.9835174779428133
1410.0,1804.0,0.9958597847088048,2.7601435274632326e-05,0.9837504435229184
1420.0,1804.0,0.9958597847088048,0.0,0.983978504645861
1430.0,1804.0,0.9958597847088048,2.7601435274637875e-05,0.984201798018443
1440.0,1805.0,0.9964118134142975,2.7601435274637875e-05,0.9844204556172426
1450.0,1805.0,0.9964118134142975,0.0,0.984634604883669
1460.0,1805.0,0.9964118134142975,2.7601435274632326e-05,0.9848443689096988
1470.0,1806.0,0.9969638421197902,2.7601435274632326e-05,0.9850498666147967
1480.0,1806.0,0.9969638421197902,2.7601435274637875e-05,0.9852512129144969
1490.0,1807.0,0.9975158708252829,0.0,0.9854485188810927
1500.0,1806.0,0.9969638421197902,0.0,0.9856418918968507
1510.0,1807.0,0.9975158708252829,2.7601435274637875e-05,0.9858314358001465
1520.0,1807.0,0.9975158708252829,2.7601435274632326e-05,0.9860172510248936
1530.0,1808.0,0.9980678995307756,2.7601435274632326e-05,0.9861994347336127
1540.0,1808.0,0.9980678995307756,2.7601435274632326e-05,0.9863780809444738
1550.0,1809.0,0.9986199282362682,2.7601435274632326e-05,0.9865532806526177
1560.0,1809.0,0.9986199282362682,2.7601435274637875e-05,0.9867251219460528
1570.0,1810.0,0.999171956941761,2.7601435274637875e-05,0.9868936901163999
1580.0,1810.0,0.999171956941761,2.7601435274632326e-05,0.9870590677647468
1590.0,1811.0,0.9997239856472536,5.520287054927575e-05,0.9872213349028576
1600.0,1812.0,1.0002760143527465,2.7601435274643425e-05,0.9873805690499664
1610.0,1812.0,1.0002760143527465,2.7601435274626773e-05,0.9875368453253787
1620.0,1813.0,1.000828043058239,2.7601435274626773e-05,0.9876902365370805
1630.0,1813.0,1.000828043058239,0.0,0.9878408132665566
1640.0,1813.0,1.000828043058239,2.7601435274626773e-05,0.9879886439499979
1650.0,1814.0,1.0013800717637316,2.7601435274626773e-05,0.988133794956075
1660.0,1814.0,1.0013800717637316,0.0,0.9882763306604421
1670.0,1814.0,1.0013800717637316,0.0,0.9884163135171266
